frame    mol0
    0      NA
    1   0.000
    2   0.915
    3   1.416
    4   1.569
    5   1.676
    6   2.009
    7   2.103
    8   2.384
    9   2.533
   10   2.905
   11   3.082
   12   3.675
   13   4.141
   14   4.503
   15   4.561
   16   4.538
   17   4.684
   18   4.637
   19   4.601
   20   4.358
   21   4.314
   22   4.571
   23   4.503
   24   4.412
   25   4.279
   26   4.616
   27   4.511
   28   4.643
   29   4.959
   30   5.116
   31   5.282
   32   5.254
   33   5.055
   34   5.024
   35   5.134
   36   4.846
   37   4.766
   38   5.083
   39   5.237
   40   5.299
   41   5.618
   42   5.855
   43   6.205
   44   6.476
   45   6.551
   46   6.560
   47   6.539
   48   6.437
   49   6.553
   50   6.742
   51   6.913
   52   6.756
   53   6.683
   54   6.662
   55   6.551
   56   6.694
   57   6.715
   58   6.974
   59   7.015
   60   7.226
   61   7.362
   62   7.228
   63   7.262
   64   7.262
   65   7.101
   66   6.853
   67   6.952
   68   7.145
   69   7.370
   70   7.791
   71   8.283
   72   8.462
   73   8.544
   74   8.326
   75   8.185
   76   8.266
   77   8.235
   78   8.049
   79   7.855
   80   7.805
   81   7.782
   82   7.806
   83   7.754
   84   7.596
   85   7.317
   86   7.072
   87   6.899
   88   7.077
   89   7.201
   90   7.074
   91   6.765
   92   6.717
   93   7.131
   94   7.071
   95   6.958
   96   6.976
   97   7.369
   98   7.534
   99   7.581
  100   7.636
  101   7.844

