frame    mol0
    0      NA
    1   0.000
    2   1.152
    3   1.806
    4   2.446
    5   2.921
    6   3.573
    7   4.068
    8   4.562
    9   5.010
   10   5.537
   11   5.500
   12   5.693
   13   5.963
   14   6.290
   15   6.486
   16   6.741
   17   7.405
   18   7.761
   19   8.035
   20   8.585
   21   8.909
   22   9.373
   23  10.041
   24  10.515
   25  10.820
   26  11.011
   27  11.279
   28  11.841
   29  12.158
   30  12.282
   31  12.278
   32  12.387
   33  12.686
   34  12.666
   35  12.738
   36  12.626
   37  12.630
   38  12.809
   39  13.104
   40  13.115
   41  12.965
   42  12.925
   43  12.749
   44  12.356
   45  12.037
   46  11.901
   47  11.663
   48  11.674
   49  11.601
   50  11.568
   51  11.613
   52  11.454
   53  11.681
   54  11.667
   55  11.763
   56  11.857
   57  12.063
   58  12.019
   59  12.315
   60  12.684
   61  12.751
   62  12.376
   63  12.047
   64  11.738
   65  11.652
   66  12.041
   67  12.344
   68  12.383
   69  12.591
   70  12.457
   71  12.431
   72  12.213
   73  11.918
   74  12.184
   75  12.490
   76  12.876
   77  13.654
   78  14.258
   79  14.765
   80  14.978
   81  15.144
   82  15.160
   83  15.297
   84  15.686
   85  15.779
   86  15.832
   87  16.024
   88  16.327
   89  16.491
   90  16.332
   91  16.279
   92  16.523
   93  16.585
   94  16.750
   95  16.847
   96  17.014
   97  17.469
   98  17.508
   99  17.601
  100  17.349
  101  17.032

