frame    mol0
    0      NA
    1   0.000
    2   0.942
    3   1.354
    4   1.541
    5   1.762
    6   2.311
    7   2.679
    8   3.110
    9   3.703
   10   4.078
   11   4.230
   12   4.624
   13   4.849
   14   5.130
   15   5.253
   16   5.291
   17   5.364
   18   5.595
   19   6.111
   20   6.161
   21   5.990
   22   5.818
   23   5.695
   24   5.977
   25   6.181
   26   6.537
   27   6.912
   28   7.211
   29   7.800
   30   8.111
   31   8.398
   32   8.499
   33   8.626
   34   8.715
   35   8.544
   36   8.374
   37   8.255
   38   8.458
   39   8.538
   40   8.841
   41   9.193
   42   9.184
   43   9.042
   44   8.853
   45   8.470
   46   8.440
   47   8.644
   48   8.431
   49   8.415
   50   8.690
   51   8.925
   52   9.019
   53   9.079
   54   8.761
   55   9.069
   56   9.161
   57   9.106
   58   9.173
   59   9.129
   60   9.097
   61   9.373
   62   9.840
   63  10.073
   64  10.259
   65  10.350
   66  10.632
   67  11.008
   68  10.922
   69  10.815
   70  11.000
   71  11.196
   72  11.613
   73  12.093
   74  12.353
   75  12.333
   76  11.871
   77  11.732
   78  11.583
   79  11.592
   80  11.508
   81  11.629
   82  11.624
   83  11.520
   84  11.386
   85  11.516
   86  11.567
   87  11.458
   88  11.673
   89  11.609
   90  11.512
   91  11.433
   92  11.269
   93  10.954
   94  10.685
   95  10.490
   96  10.091
   97   9.741
   98   9.604
   99   9.704
  100  10.104
  101  10.386

