frame    mol0
    0      NA
    1   0.000
    2   0.723
    3   1.108
    4   1.430
    5   1.685
    6   1.808
    7   2.114
    8   2.137
    9   2.278
   10   2.137
   11   2.014
   12   2.021
   13   2.190
   14   2.018
   15   1.807
   16   1.602
   17   1.770
   18   2.022
   19   1.820
   20   1.961
   21   2.040
   22   2.136
   23   2.058
   24   1.806
   25   1.690
   26   1.972
   27   2.025
   28   2.144
   29   1.806
   30   1.880
   31   2.195
   32   2.184
   33   1.896
   34   1.933
   35   1.989
   36   2.033
   37   2.096
   38   2.399
   39   2.551
   40   2.664
   41   2.469
   42   2.458
   43   2.503
   44   2.477
   45   2.731
   46   2.848
   47   3.043
   48   3.018
   49   2.768
   50   2.696
   51   2.589
   52   2.591
   53   2.612
   54   2.662
   55   2.764
   56   2.777
   57   2.778
   58   2.631
   59   2.579
   60   2.791
   61   2.788
   62   2.759
   63   2.760
   64   2.653
   65   2.405
   66   2.387
   67   2.304
   68   2.154
   69   2.212
   70   2.208
   71   2.269
   72   2.412
   73   2.518
   74   2.401
   75   2.487
   76   2.339
   77   2.291
   78   2.271
   79   2.293
   80   2.482
   81   2.668
   82   2.736
   83   2.379
   84   2.261
   85   2.404
   86   2.442
   87   2.303
   88   2.185
   89   2.229
   90   2.180
   91   2.175
   92   2.258
   93   2.387
   94   2.247
   95   2.019
   96   1.896
   97   2.111
   98   2.301
   99   2.183
  100   1.927
  101   2.033

