frame    mol0
    0      NA
    1   0.000
    2   0.955
    3   1.571
    4   2.124
    5   2.460
    6   3.021
    7   3.571
    8   3.988
    9   4.122
   10   4.493
   11   4.725
   12   4.839
   13   5.261
   14   5.476
   15   5.556
   16   5.888
   17   6.069
   18   5.987
   19   5.999
   20   6.093
   21   6.608
   22   7.149
   23   7.393
   24   7.400
   25   7.264
   26   7.503
   27   7.764
   28   8.007
   29   8.281
   30   8.858
   31   9.148
   32   9.013
   33   8.865
   34   9.080
   35   9.324
   36   9.447
   37   9.703
   38   9.854
   39   9.998
   40  10.489
   41  10.791
   42  11.026
   43  11.248
   44  11.524
   45  11.924
   46  12.214
   47  12.746
   48  12.946
   49  13.208
   50  13.392
   51  13.730
   52  13.744
   53  13.362
   54  13.277
   55  12.995
   56  12.926
   57  13.027
   58  13.620
   59  13.925
   60  14.075
   61  14.275
   62  14.783
   63  15.038
   64  15.276
   65  15.287
   66  15.252
   67  14.935
   68  14.685
   69  14.675
   70  14.807
   71  15.036
   72  14.942
   73  14.925
   74  15.029
   75  14.933
   76  14.656
   77  14.770
   78  14.835
   79  15.012
   80  15.193
   81  15.224
   82  15.329
   83  15.132
   84  14.884
   85  15.002
   86  15.221
   87  15.588
   88  15.646
   89  15.685
   90  15.662
   91  15.931
   92  16.146
   93  16.166
   94  16.297
   95  16.549
   96  16.715
   97  16.993
   98  17.018
   99  17.130
  100  17.059
  101  17.061

