frame    mol0
    0      NA
    1   0.000
    2   0.768
    3   1.239
    4   1.636
    5   2.013
    6   2.395
    7   2.792
    8   2.828
    9   3.122
   10   3.328
   11   3.477
   12   3.662
   13   3.911
   14   4.127
   15   4.304
   16   4.197
   17   4.154
   18   4.378
   19   4.662
   20   5.052
   21   5.391
   22   5.869
   23   6.315
   24   7.010
   25   7.368
   26   7.179
   27   6.987
   28   6.728
   29   6.539
   30   6.563
   31   6.764
   32   7.007
   33   7.166
   34   7.445
   35   7.793
   36   7.919
   37   8.139
   38   8.139
   39   8.173
   40   8.225
   41   8.390
   42   8.265
   43   8.228
   44   8.554
   45   8.724
   46   8.462
   47   8.360
   48   8.140
   49   7.898
   50   7.912
   51   7.963
   52   8.102
   53   7.938
   54   7.768
   55   7.896
   56   8.356
   57   8.773
   58   9.027
   59   9.325
   60   9.489
   61   9.210
   62   8.874
   63   8.749
   64   8.509
   65   8.400
   66   8.135
   67   8.040
   68   8.163
   69   8.126
   70   8.040
   71   8.170
   72   8.453
   73   8.657
   74   8.830
   75   8.849
   76   8.724
   77   8.228
   78   8.120
   79   8.350
   80   8.441
   81   8.563
   82   8.514
   83   8.441
   84   8.234
   85   8.392
   86   8.493
   87   8.484
   88   8.474
   89   8.649
   90   8.736
   91   8.533
   92   8.694
   93   8.791
   94   9.133
   95   9.576
   96   9.954
   97  10.208
   98  10.210
   99  10.387
  100  10.758
  101  11.317

