frame    mol0
    0      NA
    1   0.000
    2   0.681
    3   0.904
    4   0.958
    5   0.859
    6   0.963
    7   1.064
    8   1.212
    9   1.397
   10   1.258
   11   1.217
   12   1.132
   13   1.187
   14   1.097
   15   1.133
   16   1.199
   17   1.179
   18   1.168
   19   1.057
   20   1.085
   21   1.010
   22   1.022
   23   1.106
   24   0.930
   25   0.957
   26   1.074
   27   1.284
   28   1.240
   29   0.986
   30   0.870
   31   0.862
   32   0.961
   33   1.023
   34   1.023
   35   1.061
   36   1.096
   37   1.109
   38   1.039
   39   1.160
   40   1.179
   41   1.191
   42   1.154
   43   1.196
   44   1.082
   45   1.065
   46   1.142
   47   1.135
   48   1.183
   49   1.166
   50   1.041
   51   1.015
   52   1.131
   53   1.103
   54   1.116
   55   1.138
   56   1.118
   57   1.032
   58   1.011
   59   1.009
   60   1.066
   61   1.183
   62   1.192
   63   1.028
   64   0.994
   65   1.157
   66   1.077
   67   1.003
   68   1.084
   69   1.157
   70   1.176
   71   1.034
   72   0.889
   73   0.871
   74   0.952
   75   1.043
   76   1.098
   77   1.114
   78   1.192
   79   1.210
   80   1.286
   81   1.421
   82   1.220
   83   1.154
   84   1.239
   85   1.212
   86   1.054
   87   1.090
   88   0.935
   89   0.977
   90   0.932
   91   0.958
   92   1.099
   93   1.013
   94   1.073
   95   0.996
   96   0.910
   97   0.947
   98   1.113
   99   1.220
  100   1.020
  101   1.105

