frame    mol0
    0      NA
    1   0.000
    2   0.748
    3   1.099
    4   1.334
    5   1.402
    6   1.634
    7   1.618
    8   1.650
    9   1.726
   10   1.724
   11   1.960
   12   2.012
   13   1.853
   14   1.828
   15   1.894
   16   1.853
   17   1.555
   18   1.551
   19   1.542
   20   1.633
   21   1.594
   22   1.737
   23   2.062
   24   2.110
   25   1.852
   26   1.809
   27   1.693
   28   1.566
   29   1.810
   30   2.079
   31   2.131
   32   2.087
   33   1.912
   34   1.837
   35   1.825
   36   1.912
   37   1.911
   38   1.838
   39   1.918
   40   2.031
   41   1.891
   42   1.774
   43   1.833
   44   1.828
   45   1.884
   46   1.745
   47   1.659
   48   1.588
   49   1.678
   50   1.851
   51   1.936
   52   1.946
   53   1.905
   54   1.905
   55   2.115
   56   2.069
   57   1.853
   58   1.903
   59   1.992
   60   2.062
   61   2.109
   62   2.391
   63   2.330
   64   2.165
   65   2.030
   66   1.836
   67   1.857
   68   2.068
   69   2.129
   70   2.191
   71   2.054
   72   2.117
   73   1.959
   74   1.851
   75   1.712
   76   1.859
   77   2.062
   78   2.043
   79   1.941
   80   1.856
   81   1.970
   82   1.843
   83   1.900
   84   1.733
   85   1.612
   86   1.735
   87   1.734
   88   1.618
   89   1.583
   90   1.770
   91   1.732
   92   1.632
   93   1.751
   94   1.763
   95   1.692
   96   1.780
   97   1.747
   98   1.658
   99   1.630
  100   1.781
  101   1.837

