frame    mol0
    0      NA
    1   0.000
    2   0.870
    3   1.260
    4   1.349
    5   1.590
    6   1.641
    7   1.597
    8   1.783
    9   1.892
   10   1.958
   11   1.937
   12   2.033
   13   2.041
   14   1.979
   15   2.220
   16   2.169
   17   2.091
   18   2.345
   19   2.781
   20   3.104
   21   3.291
   22   3.162
   23   3.114
   24   2.977
   25   2.782
   26   2.642
   27   2.690
   28   3.067
   29   3.068
   30   3.121
   31   2.935
   32   2.697
   33   2.719
   34   3.048
   35   3.211
   36   3.460
   37   3.522
   38   3.492
   39   3.279
   40   3.257
   41   3.331
   42   3.468
   43   3.381
   44   3.321
   45   3.260
   46   3.603
   47   3.723
   48   3.606
   49   3.620
   50   3.771
   51   3.857
   52   4.124
   53   3.992
   54   3.576
   55   3.453
   56   3.821
   57   3.820
   58   3.769
   59   3.746
   60   3.977
   61   3.989
   62   3.981
   63   4.011
   64   4.044
   65   3.974
   66   3.908
   67   3.848
   68   3.812
   69   3.800
   70   3.741
   71   3.637
   72   3.606
   73   3.087
   74   2.872
   75   2.871
   76   3.002
   77   2.969
   78   3.087
   79   3.142
   80   3.125
   81   2.766
   82   2.904
   83   2.954
   84   2.988
   85   2.840
   86   2.812
   87   3.034
   88   3.033
   89   3.230
   90   3.482
   91   3.608
   92   3.638
   93   3.355
   94   3.273
   95   3.204
   96   3.238
   97   3.280
   98   3.244
   99   3.296
  100   3.246
  101   3.456

