frame    mol0
    0      NA
    1   0.000
    2   1.152
    3   1.666
    4   2.274
    5   2.575
    6   2.534
    7   2.848
    8   3.125
    9   3.108
   10   3.344
   11   3.540
   12   3.890
   13   4.341
   14   4.653
   15   4.814
   16   5.087
   17   5.719
   18   6.415
   19   6.874
   20   7.072
   21   7.536
   22   8.195
   23   8.738
   24   9.086
   25   9.351
   26   9.712
   27  10.197
   28  10.254
   29  10.031
   30  10.273
   31  10.764
   32  11.144
   33  11.240
   34  11.253
   35  11.103
   36  10.998
   37  11.005
   38  11.093
   39  11.379
   40  11.789
   41  12.383
   42  12.765
   43  12.766
   44  12.699
   45  12.627
   46  12.607
   47  12.648
   48  12.626
   49  12.398
   50  12.383
   51  12.526
   52  12.601
   53  12.497
   54  12.274
   55  11.725
   56  11.407
   57  11.386
   58  11.409
   59  11.464
   60  11.410
   61  11.471
   62  11.690
   63  11.942
   64  12.203
   65  12.342
   66  12.384
   67  12.781
   68  13.393
   69  13.478
   70  13.437
   71  13.081
   72  12.534
   73  12.201
   74  12.076
   75  12.092
   76  12.038
   77  11.849
   78  11.535
   79  11.576
   80  11.847
   81  12.057
   82  12.222
   83  12.265
   84  12.225
   85  12.297
   86  12.695
   87  13.122
   88  13.280
   89  13.341
   90  13.361
   91  13.360
   92  13.346
   93  13.163
   94  12.885
   95  12.552
   96  12.546
   97  12.377
   98  12.036
   99  11.886
  100  11.540
  101  11.504

