frame    mol0
    0      NA
    1   0.000
    2   1.015
    3   1.480
    4   2.087
    5   2.554
    6   3.341
    7   4.085
    8   4.651
    9   4.904
   10   5.186
   11   5.488
   12   6.003
   13   5.949
   14   6.337
   15   6.574
   16   6.774
   17   6.939
   18   7.352
   19   7.665
   20   7.901
   21   8.130
   22   8.202
   23   8.571
   24   9.066
   25   9.332
   26   9.488
   27   9.722
   28   9.725
   29   9.424
   30   9.092
   31   8.533
   32   8.498
   33   8.628
   34   8.445
   35   8.112
   36   7.917
   37   8.326
   38   8.830
   39   8.953
   40   9.096
   41   9.073
   42   9.264
   43   9.426
   44   9.370
   45   9.335
   46   9.613
   47   9.766
   48   9.827
   49   9.868
   50  10.190
   51  10.719
   52  10.836
   53  11.149
   54  11.490
   55  11.748
   56  11.755
   57  11.920
   58  12.314
   59  12.767
   60  12.896
   61  12.771
   62  12.479
   63  12.434
   64  12.303
   65  12.289
   66  12.127
   67  12.194
   68  12.153
   69  12.464
   70  12.769
   71  13.005
   72  13.055
   73  13.308
   74  13.315
   75  13.133
   76  12.965
   77  13.097
   78  13.154
   79  13.041
   80  12.880
   81  12.962
   82  12.730
   83  12.790
   84  12.916
   85  12.910
   86  13.095
   87  13.506
   88  13.972
   89  14.154
   90  13.949
   91  13.813
   92  13.965
   93  14.425
   94  14.815
   95  15.269
   96  15.738
   97  15.851
   98  15.665
   99  16.093
  100  16.265
  101  16.110

