frame    mol0
    0      NA
    1   0.000
    2   0.620
    3   0.801
    4   0.817
    5   0.877
    6   1.008
    7   1.212
    8   1.173
    9   1.271
   10   1.082
   11   1.214
   12   1.329
   13   1.386
   14   1.364
   15   1.237
   16   1.313
   17   1.122
   18   1.215
   19   1.162
   20   1.046
   21   1.145
   22   1.236
   23   1.177
   24   1.306
   25   1.296
   26   1.414
   27   1.434
   28   1.173
   29   1.104
   30   1.138
   31   1.193
   32   1.280
   33   1.362
   34   1.469
   35   1.408
   36   1.443
   37   1.489
   38   1.379
   39   1.135
   40   1.156
   41   1.260
   42   1.313
   43   1.324
   44   1.153
   45   1.301
   46   1.186
   47   1.258
   48   1.227
   49   1.231
   50   1.260
   51   1.369
   52   1.368
   53   1.301
   54   1.169
   55   1.264
   56   1.346
   57   1.475
   58   1.304
   59   1.264
   60   1.232
   61   1.479
   62   1.580
   63   1.423
   64   1.447
   65   1.350
   66   1.265
   67   1.280
   68   1.348
   69   1.304
   70   1.234
   71   1.338
   72   1.419
   73   1.420
   74   1.337
   75   1.367
   76   1.174
   77   1.253
   78   1.367
   79   1.362
   80   1.268
   81   1.260
   82   1.362
   83   1.240
   84   1.170
   85   1.188
   86   1.306
   87   1.367
   88   1.406
   89   1.355
   90   1.306
   91   1.381
   92   1.422
   93   1.493
   94   1.526
   95   1.415
   96   1.384
   97   1.413
   98   1.551
   99   1.286
  100   1.333
  101   1.200

