frame    mol0
    0      NA
    1   0.000
    2   0.786
    3   1.151
    4   1.329
    5   1.601
    6   1.767
    7   2.176
    8   2.259
    9   2.181
   10   2.269
   11   2.302
   12   2.247
   13   2.373
   14   2.271
   15   2.185
   16   2.217
   17   1.944
   18   2.132
   19   2.783
   20   2.946
   21   3.295
   22   3.207
   23   3.108
   24   3.054
   25   2.946
   26   3.102
   27   3.254
   28   3.208
   29   3.057
   30   3.050
   31   2.918
   32   3.093
   33   3.222
   34   3.271
   35   3.534
   36   3.661
   37   3.853
   38   3.705
   39   3.497
   40   3.405
   41   3.159
   42   3.018
   43   3.128
   44   3.137
   45   3.521
   46   3.719
   47   3.557
   48   3.490
   49   3.552
   50   3.521
   51   3.469
   52   3.446
   53   3.629
   54   3.445
   55   3.212
   56   3.214
   57   3.128
   58   3.191
   59   3.272
   60   3.068
   61   3.085
   62   3.123
   63   2.999
   64   3.097
   65   3.350
   66   3.459
   67   3.437
   68   3.467
   69   3.445
   70   3.184
   71   2.930
   72   2.899
   73   3.293
   74   3.556
   75   3.681
   76   3.964
   77   4.194
   78   4.466
   79   4.596
   80   4.800
   81   5.114
   82   5.249
   83   5.354
   84   5.451
   85   5.433
   86   5.434
   87   5.506
   88   5.566
   89   5.888
   90   6.190
   91   6.362
   92   6.140
   93   5.739
   94   5.447
   95   5.439
   96   5.478
   97   5.558
   98   5.771
   99   5.881
  100   6.210
  101   6.448

